Destination,1990-1995_(mf),1995-2000_(mf),2000-2005_(mf),2005-2010_(mf),2010-2015_(mf),2015-2019_(mf),1990-1995_(m),1995-2000_(m),2000-2005_(m),2005-2010_(m),2010-2015_(m),2015-2019_(m),1990-1995_(f),1995-2000_(f),2000-2005_(f),2005-2010_(f),2010-2015_(f),2015-2019_(f)
Lower-middle-income countries,-2.896981843886526,-0.761397902316376,-1.205143316548552,0.6116880025280786,0.558216777407314,1.3676713883184466,-2.905638331906803,-0.6566741674820232,-0.9605177819906326,0.6436449366251434,0.5326826380417636,1.351821997802315,-2.888493118053804,-0.8645830289261494,-1.4504165110879972,0.5791993172561131,0.5841841968662115,1.3837587033331986
Low-income countries,1.5460839278991036,-3.283583518746578,-0.014259267943603807,2.256583791773941,3.3472805457331973,2.412226770617881,1.3784069188942893,-3.2325184598872827,0.25107850846426183,1.8680714853934677,3.3291955417325427,2.336733155678486,1.711428849941741,-3.33364727160869,-0.27852862001036804,2.6411833549258006,3.364825073442172,2.485182104656396
No income group available,3.667213914108293,3.6617814857068476,2.444414833125869,-0.018202808079245264,0.9407486447632115,0.9100307733114186,3.264369186690958,3.2515184881763735,2.059137846847182,-0.2653592422017206,0.713116895606371,0.9256069044374111,4.085444225814994,4.070602298272931,2.81352875842584,0.211407817311834,1.147458267741467,0.8960307700251684
Geographic regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa,0.8331673731174817,-1.663424683427827,1.1842443348535046,2.1746528377373076,5.531100844421966,3.0565437442264463,0.8067214326986754,-1.5009153715487227,1.6089906720173746,1.9250220723489844,5.409153426191336,2.930290345848957,0.8626717387980691,-1.846043244981604,0.691636826052122,2.4668984235234688,5.671026289650016,3.1996913239944926
Asia,-0.7575429519313555,1.2429443073600963,1.5742212860104188,4.203583238539838,3.161701336979992,1.9686138846975645,-0.7016685784856236,1.3394068927300207,1.9366434205848395,5.107241853021573,3.344393978744557,2.2227573296377123,-0.8218347858249944,1.1310342777828837,1.1430987905165382,3.0492542259467452,2.9133349551164027,1.6150984159633786
Europe,1.506695122701447,1.221585336101379,2.239225229069132,2.1120530456553115,1.1892597995736636,2.320714096169286,1.4345762694071702,1.1897838329490211,2.2498172328487063,2.0577485109994154,1.0417114785527373,2.6843274033689926,1.574700557295114,1.2514221074396905,2.2292978213747263,2.162842738196197,1.3259215768825339,1.9815802528436237
Latin America and the Caribbean,-1.3656082530912665,-0.3559249037946488,1.8982884207893638,2.683597798688886,2.668294565851976,5.304233254381339,-1.4212427223195887,-0.40721695884477355,1.8142933159986738,2.6853578247331207,2.7937382198532,5.343798302519299,-1.3097495243905906,-0.30470088793925504,1.9816081505613914,2.681859059849314,2.543579760421726,5.264588559871896
Northern America,3.7718701628807887,3.8169413050993986,2.341381674124433,2.3310331261225987,1.7506079347828223,1.3191481405517564,3.8982173005616816,3.9505609676310955,2.411484948467105,2.023168373407578,1.578955602763104,1.1710939825850573,3.6502860253402414,3.6867030560687084,2.2723605906792255,2.630617315614174,1.9137546005314883,1.4578949152803027
Oceania,1.1913916754615188,1.306164104883232,2.3292052655736284,3.3666383922165477,2.4832149438789632,2.5259365522386052,0.9684643475558828,1.0818903583282644,2.201333375349953,3.3867724373978767,2.474923940017841,2.4923046810324028,1.421266249608395,1.5322638476638317,2.455866390605227,3.346801679602317,2.4913883108212556,2.5590333940215206
Sustainable Development Goal (SDG) regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SUB-SAHARAN AFRICA,1.436077060096783,-1.6405030740105642,1.5661522545760107,2.1744222838208933,5.93828640482039,2.4916075492636898,1.2795454273443188,-1.5895940438269478,1.8739291693605868,1.9173786312091927,5.838066566981106,2.444989037500503,1.6114850428448952,-1.6972323181155289,1.2165671780139469,2.467168995988903,6.050273076437544,2.5433221328005082
Eastern Africa,-3.5995340884073865,-0.5314435778578647,-0.3509041582641706,-0.020662313369820662,6.895291491104369,4.083160054996318,-3.5993340704756753,-0.6333829101950743,0.4107922383201807,-0.9890534412741384,6.780219059488971,3.9412358293799494,-3.5997465345397694,-0.4237351013166737,-1.1840567104311122,1.0274627775295513,7.013030151559614,4.226708024481863
Burundi,-5.355717148331725,-14.147234984438365,6.384756926331635,6.16248058930244,4.170770018811363,2.5567915119187474,-5.475511425098014,-14.183953291192946,6.55881683281648,6.234173208010291,4.186237114357742,2.5562781843450106,-5.241233556406414,-14.112411728052527,6.218567628981856,6.093201298066296,4.155759377880296,2.5572900601495916
Comoros,-0.19987317465281818,-0.20189081956663935,-0.8739542065538178,-0.915480989862175,-0.10010746678138882,-0.10175998725932198,-0.3090602345025274,-0.31391120609752104,-0.703362317586984,-0.7323027658830544,0.0362707213414768,-0.09902637143052848,-0.10076960107396793,-0.10127989890947682,-1.027599165235377,-1.0832704654686367,-0.22696149098053617,-0.10431975572749418
Djibouti,-4.058465061328198,0.14639496962043666,-1.749003163963945,1.9604044651426744,2.0166091494900096,0.656626470511629,-4.046025603708082,0.16850834055942346,-0.6159646429815446,0.7571882208684493,2.0613373116118527,0.6569050419570688,-4.072257294245642,0.12183206773458755,-3.0893188330963017,3.378474463831803,1.9671184939915387,0.6563175072496615
Eritrea,0.9107479129098696,0.8710748752868551,1.9997572588214367,1.8178560204195857,0.33527052628249077,0.24967438028229627,0.9837535028888064,0.9376250435857297,2.397106136585106,2.142629830289541,0.5276745624756811,0.2506357235769464,0.8295316899988386,0.796491399576069,1.5432303362179836,1.4298076571721707,0.09872384477104029,0.24847968254852826
Ethiopia,-7.179770524250253,-5.549589248376171,-3.4606253578190893,2.014869639985551,14.283046933324295,1.894309832052534,-7.179743917429533,-5.495558439489239,-3.5565703430188367,1.9984416378014778,13.703656442031681,1.8943115625904758,-7.179800003801959,-5.609624785240415,-3.3542524659465873,2.0329756161541095,14.902228645520527,1.894308037249733
Kenya,14.606022668159651,2.6908359850343255,1.7700373495841624,4.217918071845291,3.3116110410635433,-1.88952284247608,13.842531236054295,1.822798146888274,2.5219179218008607,3.338357063848581,3.4765198894208282,-1.8708909890193814,15.469935827282209,3.5930704734198486,0.9932403041226859,5.1208779188585645,3.1483592989759677,-1.9081332696338813
Madagascar,-2.4334763215056583,2.116557894640019,2.031624819345879,2.0737953550739903,2.081246399345215,2.1345914126125267,-2.294882613776496,2.186709273148509,2.09756653019588,2.1410936946895487,2.1473893057583155,2.1327149051798897,-2.6098953726785012,2.026192621552234,1.94601692900134,1.9857533473190345,1.9940456219040428,2.137074628951632
Malawi,-30.811478447847207,-0.7595315592888829,-0.965140663193701,-0.3586033623359946,1.3394716547556276,1.5457983135758735,-30.965505418091166,-0.8200403911856714,-1.0301134849248625,-0.393148979714307,1.3087056532364962,1.5385603683713336,-30.667717415084038,-0.7036374492885007,-0.9054835781257706,-0.32703498472543996,1.3674984990668093,1.552380346551557
Mauritius,14.588615984333412,14.592822502371744,4.686285568065307,4.687391171972402,2.811757824265764,0.22983063980926774,12.096916939839383,11.389604658126732,8.990562401000101,7.768724436908811,3.6545176618156,0.23105379642467178,16.70513083706818,16.716205148590113,1.6873013002544912,1.6903397613691493,1.8126409318086518,0.2283120890818118
Mayotte,10.939512287083955,10.939272296683914,6.575674962746655,2.824012783175055,0.33663715795852606,0.21899423513651425,10.278829866561418,9.450761073618178,5.734095674253408,1.9059717133727727,-0.15421622928575784,0.21956751384953413,11.80529194195399,12.671493637490899,7.441584361888085,3.6896594593990075,0.7691875232107395,0.21850057073664422
Mozambique,6.374959379258264,3.022129299329218,6.038493538312959,2.932107265416533,0.9757691000583117,0.980461055705394,6.452022404588469,2.4652407089315687,4.297693597127091,2.932204523623604,0.9757711311413189,0.9806105756018192,6.284111406911305,3.661956954818583,7.816150011870776,2.9320163092833926,0.9757672005749732,0.9803212228071451
Réunion,5.982790391803276,5.321181545612999,2.673309489981774,1.3365464057973353,0.6682260635959872,0.37915862389438937,5.628593087569038,4.996680700471233,2.490923490023046,1.1523822422181607,0.5753123718316768,0.37944462500728887,6.385954634626054,5.677500097166982,2.8683501258867317,1.5298069051989733,0.7643579454953126,0.3788641085107473
Rwanda,5.974539972970457,9.509859470097574,3.965407711948691,0.1747594898869429,3.738581850422598,1.1990494237948532,6.139735005463354,9.410112602906176,3.871796949430718,0.07198242377517712,3.6050736836815975,1.2915132802886826,5.804799139552401,9.612690860027314,4.060972702428329,0.2786489423983382,3.8719467968497,1.1069596640189476
Seychelles,6.492316807387896,4.890283710162948,6.275374263859081,4.769500315857648,2.267511887787841,0.262474705586193,6.306280222277335,4.782058177205608,8.33218900957062,5.866723220350365,2.7492787411581823,0.2638473637555579,6.759556717034097,5.042997876808838,2.9814985045767397,2.588621744851018,1.1864473746977036,0.25927118559942075
Somalia,-63.968549658420514,0.5754485387176035,0.5622564699887337,16.894470715267524,-3.2015754988161396,6.01079117229952,-63.35193726078003,0.6619446852850819,0.7733373998514197,16.504016732527454,-3.1081487010222175,5.766906636604403,-64.63271214918645,0.47880880324549835,0.3226552274580136,17.333502412026842,-3.3049778074499625,6.279281947099798
South Sudan,..,..,..,..,23.714114677077433,0.6267604944226348,..,..,..,..,23.559031285085794,0.6147273017258429,..,..,..,..,23.877161814657587,0.6393052248638503
Uganda,2.1811282962731946,-0.7625410808718311,0.30666674189341575,-3.7069296189086263,10.92501143446926,17.79160343284328,1.6874940559975669,-1.1634618209077452,0.08720590019401997,-3.7732417863033163,10.835515506364201,17.476434258336944,2.7036929107704184,-0.3570274854902638,0.5218602859955617,-3.642818980435039,11.01087722206839,18.089000208995053
United Republic of Tanzania,13.117422215822142,-3.0500643374747107,-4.163080916793698,-18.236163403975457,4.320787975684329,7.016401675164941,13.155749080704144,-2.5409839284884543,0.2133383289213283,-22.948925903294565,4.189665191137436,6.921864443137446,13.079979912281573,-3.561210581028766,-9.968680005768135,-12.089945664324969,4.450500529523644,7.108967267551443
Zambia,-2.686347839134389,6.824507994663162,-6.136070590797817,-10.451849083030487,-2.5353945677058354,6.341246775348133,-2.6421025449228477,6.689898215029267,-6.170253458201393,-10.539355889793434,-2.609733454892215,6.400403302426887,-2.7328372141180464,6.965293595127943,-6.100626474340837,-10.361672796284207,-2.4594135108381843,6.28086607301147
Zimbabwe,-7.72791311379748,-1.004186731978969,-0.3881771663876925,-0.1958210995815079,0.10891513905154168,0.663737538328293,-7.404405618978091,-1.011438821385496,-0.3996375962051438,-0.17990941878499236,-0.13673334270714807,0.8708601952770243,-8.14968329743738,-0.9945580585335224,-0.3729775903724644,-0.21692968384508576,0.4305021171120537,0.39384074909658684
Middle Africa,12.000691126014203,-8.106027300624028,1.9672386170804694,4.313847310793008,7.263025463583609,1.9988404123087993,11.974067471006236,-7.853532323871323,1.8155227958403626,4.231569094887287,7.876365478632954,2.1587900247469376,12.028338433492495,-8.371286107811489,2.1274461368201667,4.399694271228508,6.6051934512356025,1.8205455600356586
Angola,3.4428143864255882,2.9358595723108847,5.705326870644288,33.7852320143806,12.873131701435995,1.4332199471477889,2.6911497862449916,2.3707517820183828,5.156815614108221,33.354510771239774,12.844464975597234,2.871860581337116,4.294882944668297,3.533650036065916,6.253691922817958,34.195475268738896,12.899830437186113,0.016557226804379717
