Destination,1990_est_(mf),1995_est_(mf),2000_est_(mf),2005_est_(mf),2010_est_(mf),2015_est_(mf),2019_est_(mf),1990_pct_(mf),1995_pct_(mf),2000_pct_(mf),2005_pct_(mf),2010_pct_(mf),2015_pct_(mf),2019_pct_(mf),1990-1995_annual_rc_(mf),1995-2000_annual_rc_(mf),2000-2005_annual_rc_(mf),2005-2010_annual_rc_(mf),2010-2015_annual_rc_(mf),2015-2019_annual_rc_(mf)
Ghana,4102,83200,12991,53537,13828,19265,13469,2.48830762324766,32.901110807935815,6.7802360112943045,17.58563376210435,4.103057115813149,4.645034045097699,2.885513518145593,60.195453763539476,-37.13981075627134,28.32232387272184,-27.0735496318062,6.631889120374856,-8.947480736536079
Guinea,325000,672298,427206,63525,14113,8766,5259,80.52108289707424,86.80357131329043,76.27657010221846,27.66635744803167,7.928740772368228,6.935894798474515,4.359178395583627,14.53753024556832,-9.06870724233955,-38.11665606569897,-30.086743415487156,-9.52431512870505,-12.773492684735258
Guinea-Bissau,3004,15350,7587,7616,7679,8807,11221,19.54711087975013,54.89789349451021,37.100244498777506,36.7283950617284,36.46075684915246,39.43491693905879,41.688958240451775,32.62341480262636,-14.093584353545369,0.07630082266252902,0.16476065718684668,2.7411505894983175,6.056004071485171
Liberia,125,120080,69315,10168,24735,38188,11533,0.13162882776631143,57.57492939783183,45.641609819053386,11.662155342478323,24.952334836425262,33.56331133161656,12.210952058275454,137.35199458010086,-10.98993708669734,-38.38831598206372,17.77947421585038,8.686041709122296,-29.932720972299627
Mali,13411,17916,8412,11233,13558,16257,17953,8.343494923352578,10.168741167055458,4.439635835862251,4.374272285112365,3.9949907918968695,3.8660749957194223,3.834226768895628,5.7923780523250095,-15.120698210092003,5.783932336379579,3.7624180869868336,3.6309361248662584,2.4808411659151246
Mauritania,60000,34394,350,632,26717,77891,78183,53.73936408419166,38.40244746655948,0.6101174911968762,1.0874240781844147,31.550915811476283,46.7667755415726,45.195881771462595,-11.129248633201858,-91.7540851012137,11.819124793267962,74.88331903502525,21.400206931040486,0.09354547864988372
Niger,792,27622,58,301,314,124827,165990,0.6859280814799418,18.919307666490866,0.047439882218223456,0.2418428262668627,0.248292004048583,49.33912521047597,56.42828247116375,71.03612887646895,-123.31849650182912,32.93334508404912,0.8456544231875519,119.70582143527207,7.124969172210221
Nigeria,3571,8118,7270,9019,8747,1781,10535,0.78204900782049,1.7533515191177518,1.4901144129113186,0.9304710438731696,0.88471586834554,0.14852620474266437,0.8385015058802554,16.424762996087892,-2.2065505374255596,4.311543432762864,-0.6124535749170643,-31.830715602603867,44.438201073715696
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Senegal,58113,66769,22715,23341,22849,17511,17989,21.49069930845753,23.211566673851223,9.795128093453672,9.794878681314993,8.922184215047716,6.570830331412105,6.53577436337147,2.7769901998218627,-21.564268035205515,0.5437194326136672,-0.426082362712855,-5.321561956332874,0.6732801272696338
Sierra Leone,125830,4675,6546,59965,8363,760,678,56.64241856780164,4.74542206342117,6.681364443627902,41.05785689832249,10.578711023970653,1.2922313094043834,1.2478833836413163,-65.85405253726452,6.732500266766768,44.298137652093914,-39.398876885685915,-47.96508120202298,-2.85427863349953
Togo,3477,10876,12223,9287,14051,22705,13807,4.098109471500636,10.706515854030695,8.859300707410414,4.556940907462745,5.5012861522318754,8.185403628183312,4.946228084630762,22.80777347489,2.335217920498028,-5.4940770000250865,8.281559896606637,9.597831938514226,-12.43523636539748
NORTHERN AFRICA AND WESTERN ASIA,3769356,4649756,4913157,5495969,6945517,11105589,13116213,21.406130093477856,24.586190063654605,24.17726005746554,23.606799054193587,21.32976796997459,26.408684113054846,26.99287466359781,4.198211610345169,1.102039272134281,2.241964114548205,4.681630020838493,9.387041592622719,4.160015086158977
Northern Africa,1202485,876194,617699,358231,396684,716678,1367004,50.03422341963738,42.09152399069964,32.50280986377948,20.501164894192353,20.36091655023811,33.506567339187384,46.24742332913488,-6.331160005698878,-6.991724876260194,-10.896465081590298,2.039239284991546,11.82973304640596,16.143752913830053
Algeria,169107,192489,167453,94101,94144,100775,100567,61.728246347927026,73.4601117420773,66.95174123385709,47.66490056832572,43.39153039213879,42.081988366120605,40.37619191006725,2.590147171326604,-2.7867258872498635,-11.52668082696117,0.009137029030868755,1.3612956804851422,-0.051653424023464144
Egypt,1991,5407,18019,99951,109359,250671,289150,1.1453521483262672,3.2385972267976406,9.751913147953717,35.069788004463064,35.27516232980772,70.88290102109201,57.36499931554817,19.981147706356168,24.074646926896186,34.26506618308367,1.799119647276669,16.590105482073124,3.570106555946929
Libya,0,3973,11543,12166,7923,36784,44982,0,0.7820234981034995,2.0342382224603304,1.94589995073671,1.1583367202828079,4.770043545580214,5.497570323728698,..,21.331154316006266,1.0513196653147694,-8.577505078308173,30.705860920754414,5.029986043203858
Morocco,307,55,2105,219,792,5473,6779,0.5592494762728846,0.10921366163621922,3.9691518648414226,0.4027289946486695,1.1169245088775754,5.921622089500563,6.8770669750644196,-34.39029124709453,72.89475121768022,-45.25998032599962,25.7097932399585,38.66041598658985,5.350067157176187
Sudan,1031050,674071,418131,151681,184354,322220,924789,73.49440015510773,63.99027526210466,51.93619066782927,27.759100616925842,29.79656025692207,51.927164665935024,75.61074718827365,-8.499950656713537,-9.550813321105554,-20.280302984866747,3.9015638198022327,11.167534395214911,26.358276533021623
Tunisia,30,199,448,113,112,755,737,0.07898062342038753,0.5255235429265587,1.22007679947711,0.3224885844748858,0.25942740665245995,1.3355267812920115,1.2827430162736055,37.84214886124674,16.229768153809857,-27.54810827405289,-0.17777894834492078,38.1643775590786,-0.6032464264922034
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Western Asia,2566871,3773562,4295458,5137738,6548833,10388911,11749209,16.881263052890795,22.42107507214316,23.31833175370064,23.85880550914817,21.391424678102133,26.028320378021935,25.745742775351342,7.706634711301849,2.5907760479273936,3.581094388190732,4.8534792210207565,9.22904242927933,3.0761732969198317
Armenia,..,218950,280591,219550,3319,19385,18022,..,31.549036814174087,42.64949080407357,46.80049198604192,1.5718906733223774,10.138651352779043,9.477332127325027,..,4.961093995593929,-4.906361920387546,-83.83832928539778,35.2967207677011,-1.8226584327511723
Azerbaijan,..,233682,54663,3505,1908,1380,1244,..,67.91699363501613,16.688954020882946,1.15975117464099,0.6890549329904911,0.5222505213044153,0.4899817635404727,..,-29.055483060395566,-54.93993086498595,-12.162698949209174,-6.4794414771396305,-2.5937876213031394
Bahrain,1780,891,1,83,165,360,356,1.0276424266217121,0.43256836862010206,0.00041777900326285403,0.020543639144790578,0.02508147679735383,0.051126414319940576,0.048032748620070405,-13.840484316306432,-135.84688854941618,88.37681215593196,13.742097322079655,15.603171150991498,-0.2793325149531297
Cyprus,17,57,97,701,3394,15327,16165,0.0388083552105924,0.0920230541967356,0.12113492182426694,0.5983015405624547,1.7689429080712582,7.981981043641287,8.422692552182658,24.196758475566682,10.633194213376655,39.555938170624145,31.54513117519163,30.152136244094724,1.3308108040156466
